오픈시간,조회수,예매타입,제목,예매코드,장르,Image
,4901,일반예매,"2025 데미소다 콘서트, DEMI-CON! ",,콘서트,https://ticketimage.interpark.com/TicketImage/notice_poster/20/2025071413224732.jpg
2025-07-21 09:00:00,71,일반예매,리얼공룡쇼 〈포켓다이노〉 - 당진,,뮤지컬,https://ticketimage.interpark.com/TicketImage/notice_poster/20/2025071517075165.jpg
2025-07-21 09:00:00,1084,일반예매,뮤지컬〈바리케이드〉,25010408,뮤지컬,https://ticketimage.interpark.com/Play/image/large/25/25010408_p.gif
2025-07-21 09:00:00,103,일반예매,리얼공룡쇼 〈포켓다이노〉 - 대전 ,,뮤지컬,https://ticketimage.interpark.com/TicketImage/notice_poster/20/2025071517025931.jpg
2025-07-21 10:00:00,133,일반예매,몽글몽글 꿈공장 - 이천 ,,무용/전통예술,
2025-07-21 10:00:00,102,일반예매,뮤지컬 빨간 내복 야코〈골드버튼을 향해서!〉-대전 ,,뮤지컬,https://ticketimage.interpark.com/TicketImage/notice_poster/20/2025071512130920.jpg
2025-07-21 10:00:00,78,일반예매,2025 가족매직쇼〈매직키즈마술쇼〉-평택 ,,뮤지컬,https://ticketimage.interpark.com/TicketImage/notice_poster/20/2025071418081956.jpg
2025-07-21 10:00:00,121,일반예매,가족뮤지컬 〈레인보우 버블젬-흩어진 버블젬을 찾아라!〉 - 대전 ,,뮤지컬,https://ticketimage.interpark.com/TicketImage/notice_poster/20/2025071604210754.jpg
2025-07-21 14:00:00,727,일반예매,2025 빈예서 콘서트 ［첫 번째 이야기 : 추억］ - 부산,,콘서트,https://ticketimage.interpark.com/TicketImage/notice_poster/20/2025070823192645.jpg
2025-07-21 14:00:00,1172,3차티켓오픈,연극 〈보도지침〉,25008103,연극,https://ticketimage.interpark.com/Play/image/large/25/25008103_p.gif
2025-07-21 14:00:00,1102,일반예매,김수로 Curated19 연극 〈펑크락〉,25010451,연극,https://ticketimage.interpark.com/Play/image/large/25/25010451_p.gif
2025-07-21 14:00:00,359,일반예매,공터의 에티켓 ,,연극,https://ticketimage.interpark.com/TicketImage/notice_poster/20/20250717051415.jpg
2025-07-21 14:00:00,125,일반예매,윤미라무용단〈무악지우〉-  안양 ,,무용/전통예술,https://ticketimage.interpark.com/TicketImage/notice_poster/20/20250718091929.jpg
2025-07-21 16:00:00,1069,1차티켓오픈,살롱 드 캬바레 - 뮤지컬 〈잔 다르크〉 트라이아웃,,뮤지컬,https://ticketimage.interpark.com/TicketImage/notice_poster/20/20250717092511.jpg
2025-07-21 20:00:00,2452,일반예매,2025 RESCENE 1st FAN-CON ［Project 326］,25010172,콘서트,https://ticketimage.interpark.com/Play/image/large/25/25010172_p.gif
2025-07-22 10:00:00,202,일반예매,2025 카즈미 타테이시 트리오 내한공연(인천),,콘서트,https://ticketimage.interpark.com/TicketImage/notice_poster/20/2025062510265117.jpg
2025-07-22 10:00:00,39,일반예매,2025 라이브가족뮤지컬〈프린세스공주〉 - 대구 ,,뮤지컬,https://ticketimage.interpark.com/TicketImage/notice_poster/20/2025071613452421.jpg
2025-07-22 10:00:00,42,일반예매,2025 라이브가족뮤지컬〈오즈의마법사〉-대구 ,,뮤지컬,https://ticketimage.interpark.com/TicketImage/notice_poster/20/2025071616080636.jpg
2025-07-22 10:00:00,1113,일반예매,［NOL 스페셜 스테이지］ 태양의서커스 〈쿠자〉 - 부산,25010481,뮤지컬,https://ticketimage.interpark.com/Play/image/large/25/25010481_p.gif
2025-07-22 10:00:00,398,일반예매,2025 가족뮤지컬 〈에그박사 - 해적 보물섬의 비밀〉- 부산 ,25010174,뮤지컬,https://ticketimage.interpark.com/Play/image/large/25/25010174_p.gif
2025-07-22 11:00:00,128,일반예매,［ 부산 ］ 뮤지컬 한글용사 아이야 새로운 이야기 〈달라도 친구야!〉 ,,뮤지컬,https://ticketimage.interpark.com/TicketImage/notice_poster/20/2025071610555265.jpg
2025-07-22 12:00:00,5214,일반예매,Jacky Cheung 60+ Concert Tour Seoul ,25010261,콘서트,https://ticketimage.interpark.com/Play/image/large/25/25010261_p.gif
2025-07-22 13:00:00,1610,일반예매,［NOL 스페셜 스테이지］ 뮤지컬 〈맘마미아!〉,,뮤지컬,https://ticketimage.interpark.com/TicketImage/notice_poster/20/20250718031445.jpg
2025-07-22 14:00:00,102,일반예매,뮤지컬 〈사랑의 하츄핑〉 - 목포 ,,뮤지컬,https://ticketimage.interpark.com/TicketImage/notice_poster/20/20250718031845.jpg
2025-07-22 14:00:00,1036,일반예매,연극 〈보이즈 인 더 밴드〉,,뮤지컬,https://ticketimage.interpark.com/TicketImage/notice_poster/20/2025071422105336.jpg
2025-07-22 14:00:00,1062,일반예매,뮤지컬 〈해피 오! 해피〉,25009974,뮤지컬,https://ticketimage.interpark.com/Play/image/large/25/25009974_p.gif
2025-07-22 14:00:00,2813,일반예매,뮤지컬 〈브로드웨이 42번가〉 - 부산 ,25010501,뮤지컬,https://ticketimage.interpark.com/Play/image/large/25/25010501_p.gif
2025-07-22 15:00:00,300,3차티켓오픈,뮤지컬 〈리틀잭〉 ,25006347,뮤지컬,https://ticketimage.interpark.com/Play/image/large/25/25006347_p.gif
2025-07-22 15:00:00,324,일반예매,［강남 퇴근길 콘서트］ 앙상블로 듣는 지브리,25010188,클래식/오페라,https://ticketimage.interpark.com/Play/image/large/25/25010188_p.gif
2025-07-22 20:00:00,1706,일반예매,2025 유채훈 크로스오버 콘서트 〈IL MONDO〉,,콘서트,https://ticketimage.interpark.com/TicketImage/notice_poster/20/20250715020722.jpg
2025-07-23 12:00:00,4621,일반예매,더 로즈(The Rose) Once Upon A WRLD Tour in Seoul ,25009724,콘서트,https://ticketimage.interpark.com/Play/image/large/25/25009724_p.gif
2025-07-23 16:00:00,1468,일반예매,PEAKBOX 2025 : 사랑 ,25010465,콘서트,https://ticketimage.interpark.com/Play/image/large/25/25010465_p.gif
2025-07-23 17:00:00,1330,일반예매,PEAKBOX 2025 : 청춘,25010343,콘서트,https://ticketimage.interpark.com/Play/image/large/25/25010343_p.gif
2025-07-23 18:00:00,1234,일반예매,PEAKBOX 2025 : 행복,,콘서트,https://ticketimage.interpark.com/TicketImage/notice_poster/20/2025071014543329.jpg
2025-07-23 19:00:00,4319,일반예매,Invitation from Gensokyo 2025 ~ Midnight Concerto (동방프로젝트 오케스트라 콘서트) ,,클래식/오페라,https://ticketimage.interpark.com/TicketImage/notice_poster/20/2025063012302095.jpg
2025-07-23 20:00:00,9817,일반예매,2025 실리카겔 단독공연 Syn.THE.Size X ,,콘서트,https://ticketimage.interpark.com/TicketImage/notice_poster/20/20250716035958.jpg
2025-07-24 11:00:00,1602,마지막 티켓오픈,뮤지컬 〈프리다〉 ,25006050,뮤지컬,https://ticketimage.interpark.com/Play/image/large/25/25006050_p.gif
2025-07-24 14:00:00,2808,마지막 티켓 오픈,뮤지컬 〈알라딘〉 한국 초연 - 부산 (ALADDIN The Musical) ,25005672,뮤지컬,https://ticketimage.interpark.com/Play/image/large/25/25005672_p.gif
2025-07-25 11:00:00,4286,일반예매,연극 〈에쿠우스 ’EQUUS’〉: 한국 초연 50주년 기념공연 ,,연극,https://ticketimage.interpark.com/TicketImage/notice_poster/20/2025071116175454.jpg
2025-07-25 14:00:00,369,일반예매,테너 김성현 리사이틀 : Prologue,,클래식/오페라,https://ticketimage.interpark.com/TicketImage/notice_poster/20/20250718084807.jpg
2025-07-25 14:00:00,1316,1차티켓오픈,연극 〈프리마 파시〉,25009991,연극,https://ticketimage.interpark.com/Play/image/large/25/25009991_p.gif
2025-07-25 15:00:00,135,일반예매,2025 사운드 아카이브 : 디 오케스트라 (광주) ,,클래식/오페라,https://ticketimage.interpark.com/TicketImage/notice_poster/20/2025071814402228.jpg
2025-07-25 18:00:00,8169,일반예매,민트페스타 vol.78 SPIRITED,,콘서트,https://ticketimage.interpark.com/TicketImage/notice_poster/20/2025063015590510.jpg
2025-07-28 14:00:00,516,일반예매,히사이시 조 영화음악 콘서트 2025_Chamber Edition ,,클래식/오페라,https://ticketimage.interpark.com/TicketImage/notice_poster/20/2025071715161931.jpg
2025-07-28 20:00:00,3267,일반예매,2025 TEEN TOP WE GONNA ROCK IT DROP IT TOP IT HEY DON'T STOP IT POP IT X 2 LIVE,,콘서트,https://ticketimage.interpark.com/TicketImage/notice_poster/20/2025071701122818.jpg
2025-07-30 20:00:00,41409,일반예매,TOMORROW X TOGETHER WORLD TOUR 〈ACT : TOMORROW〉  IN SEOUL ,25008966,콘서트,https://ticketimage.interpark.com/Play/image/large/25/25008966_p.gif
2025-08-04 19:00:00,837,일반예매,윤석철트리오 ＆ H ZETTRIO in SEOUL,,콘서트,https://ticketimage.interpark.com/TicketImage/notice_poster/20/20250716111436.jpg
